16
-1 1 -1 0.696311 0.174078 0.696311
-0.333333 -0.777778 -1 0.624695 0.468521 -0.624695
0.333333 -0.777778 -1 -0.624695 0.468521 -0.624695
1 1 -1 -0.696311 0.174078 0.696311
-1 -0.777778 -0.333333 -0.624695 0.468521 0.624695
-0.333333 -0.185185 -0.333333 -0.376288 0.846649 -0.376288
0.333333 -0.185185 -0.333333 0.376288 0.846649 -0.376288
1 -0.777778 -0.333333 0.624695 0.468521 0.624695
-1 -0.777778 0.333333 -0.624695 0.468521 -0.624695
-0.333333 -0.185185 0.333333 -0.376288 0.846649 0.376288
0.333333 -0.185185 0.333333 0.376288 0.846649 0.376288
1 -0.777778 0.333333 0.624695 0.468521 -0.624695
-1 1 1 0.696311 0.174078 -0.696311
-0.333333 -0.777778 1 0.624695 0.468521 0.624695
0.333333 -0.777778 1 -0.624695 0.468521 0.624695
1 1 1 -0.696311 0.174078 -0.696311
54
0 4 1 1 -1 -1
1 4 5 6 2 0
1 5 2 3 -1 1
2 5 6 8 4 2
2 6 3 5 -1 3
3 6 7 10 -1 4
4 8 5 7 1 -1
5 8 9 12 8 6
5 9 6 9 3 7
6 9 10 14 10 8
6 10 7 11 5 9
7 10 11 16 -1 10
8 12 9 13 7 -1
9 12 13 -1 14 12
9 13 10 15 9 13
10 13 14 -1 16 14
10 14 11 17 11 15
11 14 15 -1 -1 16
